Total_Reward,Total_Loss,Total_Accuracy,Steps,Epsilons
-149.40285905077317,0.0,0.0,83.0,1.0
-187.90480539533328,0.0,0.0,76.0,0.995
-221.78455767431245,0.0,0.0,111.0,0.990025
-208.6024268573883,0.0,0.0,108.0,0.985074875
-90.75655892340674,0.0,0.0,98.0,0.9801495006250001
-110.60351546994904,0.0,0.0,78.0,0.9752487531218751
-334.99052560679274,0.0,0.0,112.0,0.9703725093562657
-247.8344929198867,0.0,0.0,59.0,0.9655206468094844
-210.73248804293573,0.0,0.0,84.0,0.960693043575437
-165.71512632422093,0.0,0.0,104.0,0.9558895783575597
-160.22275930851288,81.15131139755249,0.9375,88.0,0.9511101304657719
-156.87009918322582,2829.438301846385,110.375,145.0,0.946354579813443
-146.50923788671324,1566.061214774847,56.8125,67.0,0.9416228069143757
-156.56877847443783,2672.6177961826324,65.5625,78.0,0.9369146928798039
-167.32170479346593,1820.8264181911945,60.0,71.0,0.9322301194154049
-189.4939678627162,2961.424590319395,116.65625,131.0,0.9275689688183278
-162.95556658483983,1963.692468971014,82.5625,92.0,0.9229311239742362
-164.43454587790114,1709.8070181906223,90.34375,102.0,0.918316468354365
-122.27879122377277,1694.9349163770676,63.65625,74.0,0.9137248860125932
-105.88689776937879,1723.3529642820358,65.53125,78.0,0.9091562615825302
-254.3490062106725,1861.4168138504028,91.15625,103.0,0.9046104802746175
-135.82527735647545,2036.1341513097286,84.4375,94.0,0.9000874278732445
-408.79966753696795,1320.0297766029835,83.71875,94.0,0.8955869907338783
-131.9835510022915,992.0589824318886,82.03125,92.0,0.8911090557802088
-357.9607598018747,1670.4540998339653,108.75,123.0,0.8866535105013078
-133.46597931086689,739.6001125872135,66.25,75.0,0.8822202429488013
-122.5279303978889,1027.5651617646217,71.78125,82.0,0.8778091417340573
-109.55112616809714,576.9246301651001,60.90625,68.0,0.8734200960253871
-407.92741061379803,615.8689203858376,102.5625,114.0,0.8690529955452602
-123.2481692639786,683.1577042937279,79.125,88.0,0.8647077305675338
-260.173937464407,793.6051313132048,98.0625,108.0,0.8603841919146962
-288.4683926888434,978.6009475588799,96.375,107.0,0.8560822709551227
-109.59831287926089,693.8313053846359,77.4375,86.0,0.851801859600347
-133.16731762307845,1077.8279952555895,130.375,143.0,0.8475428503023453
-169.92136316949836,788.6934279799461,103.875,114.0,0.8433051360508336
-146.09730964448116,968.8601771444082,101.4375,112.0,0.8390886103705794
-142.21164616071457,436.37773218750954,75.28125,83.0,0.8348931673187264
-87.45612998500397,793.3377078473568,131.125,144.0,0.8307187014821328
-181.3520392273368,548.0453288406134,80.5625,88.0,0.8265651079747222
-200.07095665232208,604.4495126008987,77.53125,86.0,0.8224322824348486
-158.03506996091744,616.4656589925289,80.75,89.0,0.8183201210226743
-160.778853448777,567.8682239949703,86.0,95.0,0.8142285204175609
-177.16277911752996,628.327148348093,71.25,80.0,0.810157377815473
-248.64296248537207,770.5515958219767,100.75,113.0,0.8061065909263957
-116.47505109348643,443.7539954185486,56.5,62.0,0.8020760579717637
-273.2757768120822,856.0431902706623,101.96875,113.0,0.798065677681905
-126.11012584540526,1108.0219627767801,112.8125,125.0,0.7940753492934954
-128.93711599938675,1087.257059842348,84.15625,94.0,0.7901049725470279
-399.2059464346014,897.640528857708,105.0625,116.0,0.7861544476842928
-113.77746114631424,861.206938162446,88.15625,97.0,0.7822236754458713
-119.0739271506317,945.1165736913681,103.09375,113.0,0.778312557068642
-144.67300267369274,690.6064783930779,81.625,90.0,0.7744209942832988
-234.04833056367335,961.4579192250967,108.875,121.0,0.7705488893118823
-167.8488938036606,734.9085756987333,103.90625,115.0,0.7666961448653229
-122.98519184130902,913.2171181589365,129.09375,142.0,0.7628626641409962
-281.9791393688812,716.2533083111048,102.65625,113.0,0.7590483508202912
-223.63420200765222,803.1102261841297,121.34375,135.0,0.7552531090661897
-154.7873295248962,888.0932492017746,132.84375,147.0,0.7514768435208588
-177.15604889144657,715.7087337225676,114.8125,128.0,0.7477194593032545
-155.0750195583347,1033.36564168334,131.0,147.0,0.7439808620067382
-154.22662162397376,756.686989992857,120.15625,135.0,0.7402609576967045
-131.4010053399315,548.2988223582506,95.15625,106.0,0.736559652908221
-84.45149961166513,679.6379320919514,70.25,78.0,0.7328768546436799
-89.61943977293728,539.285283446312,95.4375,105.0,0.7292124703704616
-232.25318167020436,542.7975353002548,98.15625,110.0,0.7255664080186093
-131.27465433588753,757.1365003436804,121.125,135.0,0.7219385759785162
-224.12088413786583,469.6037368774414,78.125,86.0,0.7183288830986236
-141.71745841158202,883.5765282511711,103.3125,115.0,0.7147372386831305
-103.10758585501011,760.8107291162014,106.71875,120.0,0.7111635524897149
-371.01601334241826,720.1228480786085,99.1875,110.0,0.7076077347272662
-86.54868029986216,731.8018408715725,108.28125,120.0,0.7040696960536299
-62.52988037718214,431.8015473037958,114.53125,126.0,0.7005493475733617
-173.45913960298017,742.2203304469585,116.90625,129.0,0.697046600835495
-37.60865987055014,706.8042786121368,101.90625,112.0,0.6935613678313175
-61.751945552421475,976.2910463660955,152.875,169.0,0.6900935609921609
-103.43423497369331,779.923696577549,111.21875,122.0,0.6866430931872001
-100.15731149949191,922.5470525920391,153.78125,170.0,0.6832098777212641
-145.75956296193198,572.4437669217587,90.625,101.0,0.6797938283326578
-158.75408613533537,691.1592884659767,95.5,106.0,0.6763948591909945
-170.37407835272893,479.6472483277321,85.78125,96.0,0.6730128848950395
-236.5184665733644,1044.1533970981836,125.46875,140.0,0.6696478204705644
-201.38763346644865,37466.90903609991,4150.46875,5001.0,0.6662995813682115
-115.76136895243154,1238.3674232959747,110.40625,138.0,0.6629680834613705
-102.5294010867074,455.55981892347336,49.96875,64.0,0.6596532430440636
-193.6479310463891,695.6588093042374,62.875,84.0,0.6563549768288433
-93.68269646762094,464.4043154120445,50.15625,67.0,0.653073201944699
-302.0503413621227,1204.5848051905632,101.5625,135.0,0.6498078359349755
-99.99826742501699,1376.0071997344494,133.09375,173.0,0.6465587967553006
-140.64595650915646,887.6359784007072,93.625,125.0,0.6433260027715241
-102.04429142080997,1207.7215290144086,121.0,158.0,0.6401093727576664
-128.89687658494594,1287.6686876118183,141.125,182.0,0.6369088258938781
-131.31070438048863,794.3107007145882,81.84375,109.0,0.6337242817644086
-114.27774116902373,764.4860312342644,76.90625,99.0,0.6305556603555866
-147.62155284025894,977.040126144886,93.78125,119.0,0.6274028820538087
-127.84806438395393,1483.6341458559036,104.59375,138.0,0.6242658676435396
-61.69713694352725,824.0316757559776,86.09375,111.0,0.6211445383053219
-91.0494682324646,971.598757147789,77.71875,100.0,0.6180388156137953
-129.15013447669764,854.835241228342,81.1875,102.0,0.6149486215357263
-190.5225967432944,766.1723240911961,80.90625,105.0,0.6118738784280476
-139.28868050771814,1115.494223177433,100.53125,131.0,0.6088145090359074
-107.60679888211614,561.4742000699043,69.8125,93.0,0.6057704364907278
-51.165813276039074,1097.5231730341911,126.9375,163.0,0.6027415843082742
-289.43968332148927,1309.9837663173676,139.625,178.0,0.5997278763867329
-41.540942400105195,1417.570595651865,135.34375,177.0,0.5967292370047992
-76.16016379869777,1801.3537905216217,195.96875,248.0,0.5937455908197752
-105.45851478832452,665.912099480629,68.3125,88.0,0.5907768628656763
-102.02173057018045,1151.5844429135323,110.28125,142.0,0.5878229785513479
-42.847813164655264,1523.8315086364746,158.75,203.0,0.5848838636585911
-159.82453187662,577.29040107131,62.59375,83.0,0.5819594443402982
-75.09643086764626,883.3127371668816,62.78125,82.0,0.5790496471185967
-123.7100548141546,796.9309209287167,71.15625,91.0,0.5761543988830038
-149.16872115146438,1276.8573106229305,132.84375,169.0,0.5732736268885887
-107.79996693343469,597.8652922511101,72.875,92.0,0.5704072587541458
-116.56744610970891,1717.9177517294884,116.0625,149.0,0.567555222460375
-250.4880677195786,38399.842199236155,3807.625,5001.0,0.5647174463480732
-26.72384305118267,943.3797662258148,93.65625,123.0,0.5618938591163328
-155.74570171257113,913.6674366593361,104.75,143.0,0.5590843898207511
-120.81956086140626,891.8745514750481,83.28125,114.0,0.5562889678716474
7.680289703406885,1019.966864913702,94.5,129.0,0.5535075230322891
-304.3219536244326,1839.6614804267883,140.21875,195.0,0.5507399854171277
-133.53888559453645,1493.7885896861553,158.75,215.0,0.547986285490042
-92.27259827367756,874.5809300541878,92.15625,124.0,0.5452463540625918
-292.3077675740466,15444.451790243387,1512.84375,2067.0,0.5425201222922789
-116.94900928205664,2297.6746965050697,213.625,292.0,0.5398075216808175
-55.21099256712382,878.9863062500954,81.71875,110.0,0.5371084840724134
-61.68707005830696,1424.3730766177177,131.40625,186.0,0.5344229416520513
-38.28138890127272,969.9496222734451,103.625,141.0,0.531750826943791
-108.81556383553858,1128.7153611183167,110.59375,150.0,0.5290920728090721
-89.31957340236367,1382.7647196054459,157.96875,216.0,0.5264466124450268
-107.24635892743191,1376.762420296669,139.4375,189.0,0.5238143793828016
-167.2386816584405,37977.48957872391,3553.75,5001.0,0.5211953074858876
-148.87019274940565,1293.1770059168339,111.71875,155.0,0.5185893309484582
-94.3944944681413,1534.9944937229156,157.6875,225.0,0.5159963842937159
-160.09574787483902,1606.8279244303703,172.15625,250.0,0.5134164023722473
-166.93095161899674,33148.361596137285,3472.4375,5001.0,0.510849320360386
-75.1488299990705,1581.755166232586,159.65625,235.0,0.5082950737585841
-87.96502327484718,788.0134759545326,91.875,131.0,0.5057535983897912
-34.87743301327788,2086.344552129507,254.25,367.0,0.5032248303978422
-90.24755360762819,733.902826488018,58.9375,88.0,0.500708706245853
-75.4735692313951,1548.00870937109,142.875,215.0,0.4982051627146237
-45.53849850371688,1065.0036849081516,112.71875,161.0,0.49571413690105054
-300.92143948347314,32764.88168990612,3418.5625,5001.0,0.4932355662165453
-131.65191751754563,1273.9443680644035,142.6875,211.0,0.4907693883854626
-90.56601588850893,924.4273709058762,97.71875,144.0,0.4883155414435353
6.069496422261665,1037.8174367547035,116.71875,180.0,0.4858739637363176
-88.66401293482798,515.9818253219128,61.84375,94.0,0.483444593917636
-82.77853908963942,1070.610845029354,116.84375,171.0,0.4810273709480478
-103.59547372038654,1006.4842316508293,98.5,143.0,0.47862223409330756
-59.786385313374055,1319.0298530757427,127.65625,192.0,0.47622912292284103
-106.95806389607793,622.3102628588676,70.75,108.0,0.4738479773082268
-96.14143128664752,1083.803960621357,109.75,163.0,0.47147873742168567
-52.46064791149243,1123.4823883771896,95.96875,140.0,0.46912134373457726
-83.1870790511141,1132.1934145092964,120.78125,179.0,0.46677573701590436
-115.30814300720891,1403.976115256548,130.375,193.0,0.46444185833082485
-54.177928350580686,874.8125638365746,94.78125,138.0,0.46211964903917074
-86.84356722574496,31634.612864345312,3432.5,5001.0,0.4598090507939749
-371.55887883094977,1895.6928551197052,243.0,361.0,0.457510005540005
-73.95586324802089,1124.040252506733,125.0,182.0,0.45522245551230495
-89.46405521158393,639.6058439612389,74.625,111.0,0.4529463432347434
-99.06157469766613,2008.252414047718,227.28125,333.0,0.4506816115185697
-237.29590835668102,1414.957965373993,155.21875,227.0,0.4484282034609769
-219.42830847225468,1102.7692067027092,143.09375,201.0,0.446186062443672
-49.09661691771632,1487.9680497944355,149.84375,220.0,0.4439551321314536
-189.77151068091842,2669.1778886914253,287.71875,419.0,0.4417353564707963
-147.91557634118647,1361.0946497917175,137.625,200.0,0.43952667968844233
-134.02022865997222,28846.885473519564,3409.6875,5001.0,0.43732904629000013
-88.08831071077816,2024.0924209356308,236.78125,352.0,0.4351424010585501
-145.06642115149538,27944.49898418784,3393.8125,5001.0,0.43296668905325736
-92.51137704120521,1338.0591360926628,192.5625,273.0,0.43080185560799106
-326.81943140030836,11219.12109041214,1468.96875,2137.0,0.4286478463299511
