Total_Reward,Total_Loss,Total_Accuracy,Steps,Epsilons
-149.40285905077317,0.0,0.0,83.0,1.0
-187.90480539533328,0.0,0.0,76.0,0.995
-221.78455767431245,0.0,0.0,111.0,0.990025
-208.6024268573883,0.0,0.0,108.0,0.985074875
-90.75655892340674,0.0,0.0,98.0,0.9801495006250001
-110.60351546994904,0.0,0.0,78.0,0.9752487531218751
-334.99052560679274,0.0,0.0,112.0,0.9703725093562657
-247.8344929198867,0.0,0.0,59.0,0.9655206468094844
-210.73248804293573,0.0,0.0,84.0,0.960693043575437
-165.71512632422093,0.0,0.0,104.0,0.9558895783575597
-160.22275930851288,199285.984375,0.375,88.0,0.9511101304657719
-194.60394891691163,266114.57398605347,78.9375,137.0,0.946354579813443
-121.03004506830725,73809.20001983643,39.28125,71.0,0.9416228069143757
-179.68183260962144,323955.88581848145,58.28125,113.0,0.9369146928798039
-145.68342778398053,41576.95088195801,44.5,80.0,0.9322301194154049
-227.16055826562012,15019.087558746338,36.875,61.0,0.9275689688183278
-242.51959665965236,31582.733941078186,73.8125,121.0,0.9229311239742362
-243.83177796461752,16730.880895614624,71.625,120.0,0.918316468354365
-174.59716860060104,13406.906482219696,41.65625,75.0,0.9137248860125932
-147.87322856396034,21797.079889774323,75.96875,129.0,0.9091562615825302
-169.31164014704484,9481.82217502594,45.6875,76.0,0.9046104802746175
-294.72568220836706,13078.373950958252,49.375,85.0,0.9000874278732445
-283.93587756255863,10997.692246437073,40.15625,68.0,0.8955869907338783
-204.2748416675901,7377.320108890533,35.9375,61.0,0.8911090557802088
-110.86387067609697,7915.971487998962,44.3125,68.0,0.8866535105013078
-627.8549728409107,10836.036118865013,59.5,98.0,0.8822202429488013
-277.40725831252547,52611.92580986023,44.59375,77.0,0.8778091417340573
-170.32870796980188,12204.594252586365,42.21875,76.0,0.8734200960253871
-241.99928628536352,11169.30759692192,63.0625,106.0,0.8690529955452602
-267.4300489390808,7029.746784687042,57.625,91.0,0.8647077305675338
-399.6679632207455,8420842.416829348,50.5625,87.0,0.8603841919146962
-259.75920415443227,605742.9988708496,28.625,86.0,0.8560822709551227
-148.39600548636656,50427.15808868408,45.0625,100.0,0.851801859600347
-137.57646066548202,16297.866933941841,57.0,79.0,0.8475428503023453
-109.01440517469162,20833.06925147772,109.28125,138.0,0.8433051360508336
-95.95541129652165,14052.708196103573,85.0,105.0,0.8390886103705794
-111.6130834906649,22438.095487475395,98.8125,131.0,0.8348931673187264
-178.52478119381442,16400.446511507034,68.875,112.0,0.8307187014821328
-166.2401775365092,15964.148140192032,55.53125,88.0,0.8265651079747222
-443.04662587525985,12759.570322155952,33.84375,88.0,0.8224322824348486
-312.1850679898739,1612325469.1313748,55.3125,77.0,0.8183201210226743
-71.30869616834038,18047.144006729126,77.375,80.0,0.8142285204175609
-404.5533316436146,109937982.68040848,68.875,87.0,0.810157377815473
-539.9860306963948,18813.475494384766,75.375,82.0,0.8061065909263957
-95.46473584742749,18779.42523956299,63.65625,65.0,0.8020760579717637
-161.19472738530868,20931.232349395752,87.125,91.0,0.798065677681905
-281.86090269403684,14898.647472381592,60.09375,66.0,0.7940753492934954
-328.29346461010516,16075.624067306519,71.0,81.0,0.7901049725470279
-263.95783373810696,17872.76589012146,75.09375,88.0,0.7861544476842928
-583.5279144683134,21305.62413597107,73.125,94.0,0.7822236754458713
-341.6205410817389,15564.156274795532,50.59375,70.0,0.778312557068642
-239.33498545654345,8860.268423080444,53.59375,74.0,0.7744209942832988
-418.55345806127633,14149.976446151733,60.25,75.0,0.7705488893118823
-300.3501355942642,11338.199639320374,69.03125,84.0,0.7666961448653229
-172.0403770700496,7603.606656074524,44.875,57.0,0.7628626641409962
-354.3606855831789,9960.441868782043,41.3125,61.0,0.7590483508202912
-434.4884576862653,15358.683444976807,62.03125,93.0,0.7552531090661897
-352.17309750173354,8098.483827114105,40.375,58.0,0.7514768435208588
-184.31202798372476,8005.311238765717,52.75,71.0,0.7477194593032545
-313.9063124918184,9560.079940080643,62.5625,77.0,0.7439808620067382
-371.9270819272873,18164.100896716118,79.8125,114.0,0.7402609576967045
-240.87056643003652,12234.497223734856,35.78125,72.0,0.736559652908221
-163.89651283970133,11949.567883729935,41.25,85.0,0.7328768546436799
-383.53085282125215,13649.575594902039,70.125,95.0,0.7292124703704616
-189.82258045593716,10856.082757472992,67.5,86.0,0.7255664080186093
-181.55598236769404,9515.821654319763,61.21875,77.0,0.7219385759785162
-167.7122184526496,11758.764803409576,80.0,94.0,0.7183288830986236
-164.10127353426236,5326.276583194733,48.875,63.0,0.7147372386831305
-239.30506228725497,13303.20162653923,85.71875,111.0,0.7111635524897149
-291.928129454658,11370.224443912506,64.9375,83.0,0.7076077347272662
-213.90726765522274,10626.410104990005,89.09375,106.0,0.7040696960536299
-150.95366759756024,14158.160122394562,92.9375,104.0,0.7005493475733617
-217.31618774770055,11135.552628278732,66.8125,73.0,0.697046600835495
-189.13497765140698,13006.988892316818,86.65625,100.0,0.6935613678313175
-348.40694563099026,7429.6897983551025,58.21875,77.0,0.6900935609921609
-272.1690137958632,7948.994551420212,62.125,77.0,0.6866430931872001
-167.80365532608448,10023.179721593857,70.625,82.0,0.6832098777212641
-119.70975650105703,8714.764001369476,75.40625,88.0,0.6797938283326578
-349.735549595816,12148.250393867493,85.90625,103.0,0.6763948591909945
-241.11247536697525,7103.92270553112,52.4375,66.0,0.6730128848950395
-165.3400297460525,6823.607668876648,43.34375,59.0,0.6696478204705644
-222.3966553883682,9506.135461568832,70.96875,86.0,0.6662995813682115
-345.62216668662296,12499.958347558975,85.125,100.0,0.6629680834613705
-294.7634517425727,11059.377389550209,98.6875,126.0,0.6596532430440636
-191.24283060884886,9782.784839510918,64.40625,97.0,0.6563549768288433
-318.6454026649184,9108.501471281052,71.59375,103.0,0.653073201944699
-168.70647159683773,6820.853299856186,72.0,92.0,0.6498078359349755
-154.52371633488661,3845.9378848075867,47.46875,59.0,0.6465587967553006
-145.8174106637049,7412.27957212925,66.0,98.0,0.6433260027715241
-190.1184347172329,6130.982917904854,55.21875,88.0,0.6401093727576664
-359.93326275607035,6096.336656987667,66.1875,91.0,0.6369088258938781
-153.6847275878668,5716.280715227127,48.25,69.0,0.6337242817644086
-152.3278916980542,6572.1834272146225,64.625,79.0,0.6305556603555866
-147.81485165297994,4546.225113868713,38.0625,56.0,0.6274028820538087
-433.55160379175345,9557.696864068508,86.09375,124.0,0.6242658676435396
-172.33151634562037,5821.966520190239,51.6875,91.0,0.6211445383053219
-449.8857053478424,7806.385130047798,65.5,114.0,0.6180388156137953
-121.89947414960997,5473.393300294876,46.03125,65.0,0.6149486215357263
-333.1965727358433,6565.602006077766,67.71875,90.0,0.6118738784280476
-174.93186458898907,7752.878558516502,58.9375,96.0,0.6088145090359074
-552.8814154728498,5761.298690319061,51.9375,96.0,0.6057704364907278
-593.4179164807861,7541.716660261154,90.03125,143.0,0.6027415843082742
-161.2336079071231,4839.265437960625,60.5625,93.0,0.5997278763867329
-178.30865990783371,4795.715358257294,38.84375,59.0,0.5967292370047992
-145.9106222137736,4012.4631281495094,39.46875,63.0,0.5937455908197752
-74.68121130619308,4501.467093467712,38.375,68.0,0.5907768628656763
-446.1050871814076,5118.832182765007,52.46875,88.0,0.5878229785513479
-75.94306859835334,3089.212343811989,45.1875,67.0,0.5848838636585911
-285.45501620824604,8229.027174711227,77.65625,119.0,0.5819594443402982
-390.05929553829895,7567.8691945672035,73.75,104.0,0.5790496471185967
-228.1907102365559,4342.14575779438,26.75,61.0,0.5761543988830038
-146.7528674713436,2836.4309732317924,48.125,80.0,0.5732736268885887
-625.9678822088632,5432.589000225067,77.375,116.0,0.5704072587541458
-281.7425088026896,3237.2327144145966,37.1875,68.0,0.567555222460375
-189.00515043099333,5968.710303843021,78.71875,125.0,0.5647174463480732
-510.0293045003696,5988.740128159523,64.90625,118.0,0.5618938591163328
-481.3522167964312,6570.583490848541,68.625,113.0,0.5590843898207511
-210.23541712047256,4776.158340215683,55.09375,104.0,0.5562889678716474
-266.8760246883112,4495.62876534462,70.875,107.0,0.5535075230322891
-239.3323100964842,4266.156774401665,48.3125,75.0,0.5507399854171277
-508.5783674335612,2960.701291024685,55.78125,84.0,0.547986285490042
-382.07684149086674,6559.295518517494,80.84375,144.0,0.5452463540625918
-610.107435826033,5545.686400413513,92.0,145.0,0.5425201222922789
-222.7118353176699,4454.105531036854,51.1875,90.0,0.5398075216808175
-120.85557810341075,3571.622539281845,37.9375,67.0,0.5371084840724134
-211.66400181292315,6519.847196996212,77.1875,158.0,0.5344229416520513
-441.97705485679177,3854.7285546064377,46.34375,82.0,0.531750826943791
-176.88988595135942,5152.096805810928,63.59375,105.0,0.5290920728090721
-348.3512177438465,8685.421331346035,78.46875,165.0,0.5264466124450268
-466.055036169163,3127.132257401943,35.5625,70.0,0.5238143793828016
-589.0474406747318,5536.271472096443,53.28125,98.0,0.5211953074858876
-522.9913754912594,4897.592298805714,62.8125,118.0,0.5185893309484582
-341.94230098513833,3634.4519008994102,55.40625,103.0,0.5159963842937159
-367.17968667734993,2928.5968076586723,47.40625,82.0,0.5134164023722473
-205.05739104084967,3355.910984158516,71.09375,112.0,0.510849320360386
-95.12293084439453,2891.134390115738,46.90625,86.0,0.5082950737585841
-123.94988435266013,4779.616795599461,83.4375,120.0,0.5057535983897912
-118.84906961025987,4213.9019186496735,68.65625,118.0,0.5032248303978422
-120.87777703058765,3442.4398095607758,53.21875,91.0,0.500708706245853
-246.09568412749599,3160.6472898721695,49.375,89.0,0.4982051627146237
-342.57164637020963,5770.2930408120155,102.6875,167.0,0.49571413690105054
-252.5172832229653,3542.442807197571,82.09375,124.0,0.4932355662165453
-145.3265609353655,2754.564487040043,55.375,88.0,0.4907693883854626
-458.79170305029936,3442.6022096276283,58.15625,109.0,0.4883155414435353
-344.091636818971,2319.212273836136,51.53125,83.0,0.4858739637363176
-156.65611979868015,2786.9471945762634,34.0,67.0,0.483444593917636
-380.26611728308006,3307.6776084899902,45.59375,80.0,0.4810273709480478
-144.08530697834095,3326.2814606428146,52.6875,90.0,0.47862223409330756
-427.1498685846818,3153.362352848053,44.21875,78.0,0.47622912292284103
-410.94415851849413,2917.227984905243,55.84375,98.0,0.4738479773082268
-133.5944516046954,2566.266774058342,38.125,72.0,0.47147873742168567
-375.64925974831067,4536.83768093586,71.21875,121.0,0.46912134373457726
-480.6671913308189,3488.0111417770386,54.78125,96.0,0.46677573701590436
-154.48582467159412,4603.234894394875,70.8125,128.0,0.46444185833082485
-496.3646684776943,2237.7657239437103,47.03125,86.0,0.46211964903917074
-222.49206712603478,8741.290052711964,119.9375,226.0,0.4598090507939749
-713.7942145725129,5260.745490133762,82.53125,158.0,0.457510005540005
-70.51383380466385,2621.0449627637863,56.375,100.0,0.45522245551230495
-96.22583020318174,2918.7906516194344,48.03125,85.0,0.4529463432347434
-618.5386745340793,3724.7952459454536,35.875,81.0,0.4506816115185697
-326.2391827762108,6642.6984922885895,108.75,198.0,0.4484282034609769
-236.1812229268716,2827.373733341694,52.8125,102.0,0.446186062443672
-150.9678640547366,2110.977893471718,31.0625,64.0,0.4439551321314536
-121.0772316793685,2690.5063390135765,50.4375,87.0,0.4417353564707963
-290.555209672465,2758.3248487114906,57.40625,99.0,0.43952667968844233
-291.32867087050494,2817.621793150902,52.4375,85.0,0.43732904629000013
-161.8812340096449,1790.2563874721527,33.6875,61.0,0.4351424010585501
-361.9019125078797,3907.426208138466,61.375,110.0,0.43296668905325736
-253.17402868139365,2351.5602046251297,49.4375,83.0,0.43080185560799106
-170.61986381280207,3692.334246098995,80.0625,136.0,0.4286478463299511
